"店名","住所","URL","タイプ","備考","LocName","fX","fY","iConf","iLvl"
イトーヨーカドー 大和鶴間店,大和市下鶴間1丁目3番1号,http://blog.itoyokado.co.jp/shop/213,スーパー,要相談,"神奈川県/大和市/下鶴間/一丁目/３番","139.45692","35.49052","5","7"
イトーヨーカドー 洋光台店,横浜市磯子区洋光台3-10-3,http://blog.itoyokado.co.jp/shop/084,スーパー,要相談,"神奈川県/横浜市/磯子区/洋光台/三丁目/１０番","139.59393","35.38035","5","7"
イトーヨーカドー 横浜別所店,横浜市南区別所1-14-1,http://blog.itoyokado.co.jp/shop/199,スーパー,要相談,"神奈川県/横浜市/南区/別所/一丁目/１４番","139.59474","35.41594","5","7"
イトーヨーカドー ららぽーと横浜店,横浜市都筑区池辺町4035番1,http://blog.itoyokado.co.jp/shop/238,スーパー,要相談,"神奈川県/横浜市/都筑区/池辺町/４０３５番地","139.56602","35.51758","5","7"
イトーヨーカドー 若葉台店,横浜市旭区若葉台3-7-1,http://blog.itoyokado.co.jp/shop/112,スーパー,要相談,"神奈川県/横浜市/旭区/若葉台/三丁目/７番","139.49806","35.50528","5","7"
築地日本海 両国店,"東京都墨田区両国3-26-2 リヴゴーシュATビル1,2F",http://search.daisyo.co.jp/shop.php?shop_cd=4283,釣りパック,,"東京都/墨田区/両国/三丁目/２６番","139.79353","35.69542","5","7"
築地日本海 赤羽店,"東京都北区赤羽西1-40-4 TAGUCHIビル1,2F",http://search.daisyo.co.jp/shop.php?shop_cd=4268,釣りパック,,"東京都/北区/赤羽西/一丁目/４０番","139.71939","35.77868","5","7"
築地日本海 茗荷谷店,東京都文京区小石川5-5-7 中沢ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4274,釣りパック,,"東京都/文京区/小石川/五丁目/５番","139.73721","35.71784","5","7"
築地日本海 矢口店,東京都大田区矢口2-14-9,http://search.daisyo.co.jp/shop.php?shop_cd=4263,釣りパック,,"東京都/大田区/矢口/二丁目/１４番","139.69554","35.56312","5","7"
築地日本海 石川台店,東京都大田区東雪谷2-13-3 カスタリア雪谷,http://search.daisyo.co.jp/shop.php?shop_cd=4286,釣りパック,,"東京都/大田区/東雪谷/二丁目/１３番","139.68510","35.59553","5","7"
築地日本海 池上店,東京都大田区池上6-1-7 ブルースカイハイツ1F,http://search.daisyo.co.jp/shop.php?shop_cd=4279,釣りパック,,"東京都/大田区/池上/六丁目/１番","139.70445","35.57275","5","7"
築地日本海 糀谷店,東京都大田区西糀谷4-27-9 ベルヒルズビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4276,釣りパック,,"東京都/大田区/西糀谷/四丁目/２７番","139.73007","35.55377","5","7"
築地日本海 蒲田店,東京都大田区西蒲田7-5-11 ツユキ・大庄蒲田ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4267,釣りパック,,"東京都/大田区/西蒲田/七丁目/５番","139.71519","35.56368","5","7"
築地日本海 竹ノ塚店,東京都足立区竹の塚1-41-10 Tスクエア1F,http://search.daisyo.co.jp/shop.php?shop_cd=4270,釣りパック,,"東京都/足立区/竹の塚/一丁目/４１番","139.79124","35.79376","5","7"
すし 炉ばた焼 築地日本海 綾瀬店,東京都足立区綾瀬3-7-10 岩崎ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=1749,釣りパック,,"東京都/足立区/綾瀬/三丁目/７番","139.82605","35.76339","5","7"
築地日本海 方南町店,東京都杉並区堀之内1-5-4 世継ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4266,釣りパック,,"東京都/杉並区/堀ノ内/一丁目/５番","139.65506","35.68366","5","7"
築地日本海 阿佐ヶ谷店,"東京都杉並区阿佐ヶ谷南1-48-13 横川ビB1,1F",http://search.daisyo.co.jp/shop.php?shop_cd=4273,釣りパック,,"東京都/杉並区/阿佐谷南/一丁目/４８番","139.63676","35.70375","5","7"
すし 築地 アトレヴィ信濃町店,東京都新宿区信濃町34 アトレヴィ信濃町1F,http://search.daisyo.co.jp/shop.php?shop_cd=1531,釣りパック,,"東京都/新宿区/信濃町/３４番","139.71959","35.68071","5","7"
すし 築地 赤坂本店,東京都港区赤坂3-13-7 サクセスビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=1519,釣りパック,,"東京都/港区/赤坂/三丁目/１３番","139.73750","35.67313","5","7"
すし 築地 豊洲シエルタワー店,東京都江東区豊洲5-5-1 豊洲シエルタワー3F,http://search.daisyo.co.jp/shop.php?shop_cd=1624,釣りパック,,"東京都/江東区/豊洲/五丁目/５番","139.79678","35.65314","5","7"
築地日本海 船橋店,千葉県船橋市本町2-2-7 サンテックビル2F,http://search.daisyo.co.jp/shop.php?shop_cd=4275,釣りパック,,"千葉県/船橋市/本町/二丁目/２番","139.98523","35.69692","5","7"
築地日本海 千葉駅前店,千葉県千葉市中央区富士見1-1-1 千葉駅前ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4278,釣りパック,,"千葉県/千葉市/中央区/富士見/一丁目/１番","140.11661","35.61250","5","7"
築地日本海 千葉中央店,千葉県千葉市中央区新宿2-2-2 第3プレシードビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4284,釣りパック,,"千葉県/千葉市/中央区/新宿/二丁目/２番","140.11668","35.60778","5","7"
築地日本海 新松戸店,千葉県松戸市新松戸2-18 長谷川ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4277,釣りパック,,"千葉県/松戸市/新松戸/二丁目/１８番地","139.92020","35.82486","5","7"
すし 築地 南行徳店,千葉県市川市南行徳1-18-1 レジデンスダイキ1F,http://search.daisyo.co.jp/shop.php?shop_cd=1470,釣りパック,,"千葉県/市川市/南行徳/一丁目/１８番","139.90286","35.67149","5","7"
すし 築地 桜木町駅前店,神奈川県横浜市中区桜木町1-1 JR高架下,http://search.daisyo.co.jp/shop.php?shop_cd=1700,釣りパック,,"神奈川県/横浜市/中区/桜木町/一丁目/１番地","139.63272","35.44905","5","7"
浜の母や 大泉学園店,東京都練馬区東大泉1-37-1 マルキシビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=4258,釣りパック,,"東京都/練馬区/東大泉/一丁目/３７番","139.58578","35.75114","5","7"
焼酎屋 童 成増店,東京都板橋区成増2-12-6 成増駅前ビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=4423,釣りパック,,"東京都/板橋区/成増/二丁目/１２番","139.63309","35.77693","5","7"
満天酒場 大森店,東京都大田区大森北1-3-3 高信ビル1F,http://search.daisyo.co.jp/shop.php?shop_cd=4259,釣りパック,,"東京都/大田区/大森北/一丁目/３番","139.72885","35.58758","5","7"
浜の母や 大森店,東京都大田区大森北1-2-1 徳原ビルB1,http://search.daisyo.co.jp/shop.php?shop_cd=4292,釣りパック,,"東京都/大田区/大森北/一丁目/２番","139.72902","35.58776","5","7"
浜の母や 浅草橋店,"東京都台東区浅草橋1-26-1 イズプラビル1,2F",http://search.daisyo.co.jp/shop.php?shop_cd=4289,釣りパック,,"東京都/台東区/浅草橋/一丁目/２６番","139.78381","35.69812","5","7"
